key,Português [pt-BR]
002_t,Ganhe <sprite name=XP1> para cada vez que você Retaliar <nobr>nessa rodada.</nobr>
004_b,"Qualquer inimigo que visar um de seus aliados adjacentes com um ataque nesta rodada, visará você em vez de seu aliado, independentemente do alcance do ataque."
007_b,"Nas próximas seis fontes de danos vindos de ataques visando você, ganhe <nobr>Escudo <sprite name=Shield> *BShield*.</nobr>"
013_b,Adicione <nobr>+1 ao Ataque <sprite name=Attack></nobr> em todos os seus ataques nesta rodada.
015_b,"Nas próximas três fontes de dano a você, não sofra dano."
016_b,"Se o movimento foi em linha reta, realize"
022_t,Mate um inimigo normal adjacente <nobr>com ATORDOAR <sprite name=Stun>.</nobr>
023_b,Você pode tratar todas as habilidades de <nobr>Mover <sprite name=Move></nobr> como habilidades de <nobr>Ataque <sprite name=Attack></nobr> do mesmo valor.
026_b,"Adicione <nobr>+3 ao Ataque <sprite name=Attack></nobr> para todos os seus ataques visando inimigos com <nobr>DESARMAR <sprite name=Disarm>,</nobr> <nobr>IMOBILIZAR <sprite name=Immobilize></nobr> ou <nobr>ATORDOAR <sprite name=Stun></nobr> nesta rodada."
030_t_1,Crie uma armadilha de 6 de dano em um hexágono vazio adjacente.
030_t_2,Ganhe <sprite name=XP2> quando a armadilha for acionada por um inimigo.
031_t,Invocar Chamariz
037_b,Um aliado adjacente pode <nobr>Recuperar <sprite name=Recover></nobr> todas as suas cartas descartadas.
040_b,Você e todos os aliados adjacentes adicionam <nobr>+1 ao Ataque <sprite name=Attack></nobr> para todos os seus ataques nesta rodada.
043_b_1,Um aliado dentro do <nobr>Alcance <sprite name=Range> 2</nobr> pode <nobr>Recuperar <sprite name=Recover></nobr> uma das suas cartas descartadas.
043_b_2,"Em vez disso, até duas cartas descartadas."
043_t,"Crie uma armadilha de VENENO <sprite name=Poison> de 2 de dano, em um hexágono vazio adjacente."
044_t,"Em suas próximas quatro ações de Curar, adicione <nobr>+2 ao Curar <sprite name=Heal></nobr>."
045_b,Um aliado dentro do <nobr>Alcance <sprite name=Range> 3</nobr> pode <nobr>Recuperar <sprite name=Recover></nobr> uma de suas cartas queimadas.
047_b,Crie uma armadilha de ATORDOAR <sprite name=Stun> em um hexágono vazio adjacente.
049_t,Invocar Robô de Batalha
