Key,Português [pt-BR]
Demolitionist,Demolidor
Hatchet,Machadinha
RedGuard,Guarda Vermelho
Voidwarden,Guardiã do Vazio
BlackSludge,Lodo Preto
BlackSludgeElite,Lodo Preto Elite
BloodImp,Diabrete de Sangue
BloodImpElite,Diabrete de Sangue Elite
BloodMonstrosity,Monstruosidade de Sangue
BloodMonstrosityElite,Monstruosidade de Sangue Elite
ChaosDemon,Demônio do Caos
ChaosDemonElite,Demônio do Caos Elite
RatMonstrosity,Monstruosidade do Rato
RatMonstrosityElite,Monstruosidade do Rato Elite
VermlingRaider,Invasor Vermling
VermlingRaiderElite,Invasor Vermling Elite
Zealot,Fanático
ZealotElite,Fanático Elite
FilthySludge,Lodo Imundo
BloodHorror,Horror de Sangue
BloodTumor,Tumor de Sangue
FirstOfTheOrder,Primeiro da Ordem
CrowdMember,Fan
EntropyDemon,Demônio da Entropia
EntropyDemonElite,Demônio Entropia Elite
Ward,Ala
Pillar,Pilar
SummonAbility_WardDisadvantage,Todos os inimigos dentro do <nobr>Alcance <sprite name=Range> 3</nobr> da Guardiã ganham Desvantagem em todos os seus ataques não concedidos pela Guardiã do Vazio.
SummonAbility_WardPoison,Todos os inimigos que entrarem em um hexágono adjacente à guardiã ganham <nobr>VENENO <sprite name=Poison></nobr>.
Target_OneAdjacentAlly,Atinja um aliado adjacente
Target_AllEnemiesAdjacentToHexesMovedThrough,Atinja todos os inimigos adjacentes a algum dos hexágonos atravessados
Xis_Shield,onde X é o valor atual do seu Escudo.
JOTL_010_T,"Você pode adicionar <nobr>+3 Ataque <sprite name=Attack></nobr> a qualquer um de seus ataques à distância marcando-o com seu Favorito após a habilidade de ataque ser resolvida. Quando esse alvo morrer, ele derrubará seu Favorito. Se você saquear aquele hexágono, devolva seu Favorito a esta Habilidade Ativa."
JOTL_011_T,"Se o alvo tiver seu Favorito, devolva-o à sua Habilidade Ativa."
JOTL_015_B,Dobre o valor do seu próximo ataque nesta rodada.
JOTL_016_B_1,Todos os inimigos adjacentes sofrem 1 de dano.
JOTL_016_B_2,Todos os inimigos adjacentes sofrem 2 de dano.
JOTL_018_T,Adicione <nobr>+2 de Ataque <sprite name=Attack></nobr> e ganhe <sprite name=XP1> se o alvo tiver seu Favorito.
JOTL_019_B,Adicione <nobr>+2 Movimento <sprite name=Move></nobr> e ganhe <sprite name=XP1> se você matou um inimigo nesta rodada.
JOTL_020_T,Escolha um aliado adjacente ao alvo do ataque
JOTL_021_B,"Em suas próximas quatro habilidades de Movimento, adicione <nobr>+2 Movimento <sprite name=Move></nobr>."
JOTL_022_B,Adicione <nobr>+1 Ataque <sprite name=Attack></nobr> a todos os seus ataques nesta rodada.
JOTL_023_T,Adicione <nobr>+2 de Ataque <sprite name=Attack></nobr> e ganhe <sprite name=XP1> se o alvo tiver seu Favorito.
JOTL_024_T,Mire em um inimigo diferente dentro de <nobr>Alcance <sprite name=Range> 2</nobr> do alvo da habilidade de Ataque anterior
JOTL_024_B,"Em seus próximos quatro ataques, quando possível, um inimigo adjacente ao alvo sofre 2 de dano."
JOTL_025_T,"Se este ataque matar o alvo, um inimigo adjacente ao hexágono em que morreu sofre X de dano, onde X é a quantidade de dano que o alvo teria sofrido além do necessário para matá-lo."
JOTL_025_B,Adicione <nobr>+2 de Ataque <sprite name=Attack></nobr> e ganhe <sprite name=XP1> se você matou um inimigo nesta rodada.
JOTL_026_T,"Em seus próximos cinco ataques, adicione <nobr>+1 Ataque <sprite name=Attack></nobr> e <nobr>FERIMENTO <sprite name=Wound></nobr>."
JOTL_027_T,"Se um inimigo adjacente tiver seu Favorito, você pode devolvê-lo à sua Habilidade Ativa. Se o fizer, o inimigo adjacente sofre 2 de dano e ganha <nobr>FERIMENTO <sprite name=Wound></nobr>."
JOTL_027_B,Adicione <nobr>FORTALECER <sprite name=Strengthen></nobr> e ganhe <sprite name=XP1> se você matou um inimigo nesta rodada.
JOTL_028_B,"Nas próximas cinco vezes que um inimigo encerrar uma habilidade de Movimento dentro de um <nobr>Alcance <sprite name=Range> 5</nobr>, execute uma ação de ""<nobr>Ataque <sprite name=Attack> 2</nobr>, <nobr>Alcance <sprite name=Range> 5</nobr>"" visando aquele inimigo."
JOTL_030_T,"Você pode adicionar <nobr>+3 Ataque <sprite name=Attack></nobr>, <nobr>FERIMENTO <sprite name=Wound></nobr> e <nobr>EMPURRAR <sprite name=Push> 1</nobr> a qualquer um de seus ataques à distância marcando-o com seu Favorito depois que a habilidade de ataque for resolvida. Quando esse alvo morrer, ele derrubará seu Favorito. Se você saquear aquele hexágono, devolva seu Favorito a esta Habilidade Ativa. Este cartão não pode estar ativo enquanto ""O Favorito"" estiver ativo."
